book,character
Category:The Last Wish characters,Silvena (Fredefalk's wife)
Category:The Last Wish characters,Silvena (Narok ruler)
Category:The Last Wish characters,Slow
Category:The Last Wish characters,Stregobor
Category:The Last Wish characters,Supree
Category:The Last Wish characters,Tavik
Category:The Last Wish characters,The Last Wish minor characters
Category:The Last Wish characters,Tinglant
Category:The Last Wish characters,Torque
Category:The Last Wish characters,Toruviel
Category:The Last Wish characters,Treska
Category:The Last Wish characters,Trigla
Category:The Last Wish characters,Triss Merigold
Category:The Last Wish characters,Valdo Marx
Category:The Last Wish characters,Vanadain
Category:The Last Wish characters,Velerad
Category:The Last Wish characters,Venimira
Category:The Last Wish characters,Vereena
Category:The Last Wish characters,Vesemir
Category:The Last Wish characters,Virginia
Category:The Last Wish characters,Vissegerd
Category:The Last Wish characters,Vizimir II
Category:The Last Wish characters,Vratimir
Category:The Last Wish characters,Vridank
Category:The Last Wish characters,Vyr
Category:The Last Wish characters,Warder
Category:The Last Wish characters,Wieldhill
Category:The Last Wish characters,Windhalm of Attre
Category:The Last Wish characters,Yennefer of Vengerberg
Category:The Last Wish characters,Zatret Voruta
Category:The Last Wish characters,Zavist
Category:The Last Wish characters,Zivelina
Category:The Tower of the Swallow characters,Adam Pangratt
Category:The Tower of the Swallow characters,Aideen
Category:The Tower of the Swallow characters,Almavera
Category:The Tower of the Swallow characters,Amaranth
Category:The Tower of the Swallow characters,Ambassador de Ruyter
Category:The Tower of the Swallow characters,Andres Vierny
Category:The Tower of the Swallow characters,Angoulême
Category:The Tower of the Swallow characters,Anna Henrietta
Category:The Tower of the Swallow characters,Ardal aep Dahy
Category:The Tower of the Swallow characters,Aristide Vermuellen
Category:The Tower of the Swallow characters,Asa Thjazi
Category:The Tower of the Swallow characters,Asse
Category:The Tower of the Swallow characters,Assire var Anahid
Category:The Tower of the Swallow characters,Avallac'h
Category:The Tower of the Swallow characters,Baron of Casadei
Category:The Tower of the Swallow characters,Benda
Category:The Tower of the Swallow characters,Bert Brigden
Category:The Tower of the Swallow characters,Big Lothar
Category:The Tower of the Swallow characters,Billy Goat (digger)
Category:The Tower of the Swallow characters,Blanka
Category:The Tower of the Swallow characters,Boreas Mun
Category:The Tower of the Swallow characters,Bran Tuirseach
Category:The Tower of the Swallow characters,Bucephalus
Category:The Tower of the Swallow characters,Buyvid Backhuysen
Category:The Tower of the Swallow characters,Cahir Mawr Dyffryn aep Ceallach
Category:The Tower of the Swallow characters,Calanthe
Category:The Tower of the Swallow characters,Caleb Stratton
Category:The Tower of the Swallow characters,Carthia van Canten
Category:The Tower of the Swallow characters,Ceallach aep Gruffyd
Category:The Tower of the Swallow characters,Chloe Stitz
Category:The Tower of the Swallow characters,Ciri
Category:The Tower of the Swallow characters,Cirilla Fiona (imposter)
Category:The Tower of the Swallow characters,Codringher
Category:The Tower of the Swallow characters,Coën
Category:The Tower of the Swallow characters,Crach an Craite
Category:The Tower of the Swallow characters,Cregennan of Lod
Category:The Tower of the Swallow characters,Cyprian Fripp the elder
Category:The Tower of the Swallow characters,Cyprian Fripp the younger
Category:The Tower of the Swallow characters,D'Arvy
Category:The Tower of the Swallow characters,Dacre Silifant
Category:The Tower of the Swallow characters,Dandelion
Category:The Tower of the Swallow characters,Daniel Etcheverry
Category:The Tower of the Swallow characters,Debora
Category:The Tower of the Swallow characters,Declan Ros aep Maelchlad
Category:The Tower of the Swallow characters,Dede Vargas
Category:The Tower of the Swallow characters,Demavend III
Category:The Tower of the Swallow characters,Dominik Bombastus Houvenaghel
Category:The Tower of the Swallow characters,Draakul
Category:The Tower of the Swallow characters,Dufficey Kriel
Category:The Tower of the Swallow characters,Effenberg
Category:The Tower of the Swallow characters,Eist Tuirseach
Category:The Tower of the Swallow characters,Emhyr var Emreis
Category:The Tower of the Swallow characters,Emiel Regis Rohellec Terzieff-Godefroy
Category:The Tower of the Swallow characters,Eredin Bréacc Glas
Category:The Tower of the Swallow characters,Eskel
Category:The Tower of the Swallow characters,Esterad Thyssen
Category:The Tower of the Swallow characters,Esterhazy
Category:The Tower of the Swallow characters,Esteril Thyssen
Category:The Tower of the Swallow characters,Eurneid
Category:The Tower of the Swallow characters,Fabio Sachs
Category:The Tower of the Swallow characters,Falka (alias)
Category:The Tower of the Swallow characters,Fergus var Emreis
Category:The Tower of the Swallow characters,Flourens Delannoy
Category:The Tower of the Swallow characters,Fringilla Vigo
Category:The Tower of the Swallow characters,Fulko Artevelde
Category:The Tower of the Swallow characters,Gabriel (person)
Category:The Tower of the Swallow characters,Gaudemunda Thyssen
Category:The Tower of the Swallow characters,Gedovius Troyden
Category:The Tower of the Swallow characters,Gemma
Category:The Tower of the Swallow characters,Geoffrey Monck
Category:The Tower of the Swallow characters,Geralt of Rivia
Category:The Tower of the Swallow characters,Gerard Troyden
Category:The Tower of the Swallow characters,Giselher
Category:The Tower of the Swallow characters,Golan Drozdeck
Category:The Tower of the Swallow characters,Gosta
Category:The Tower of the Swallow characters,Goulue
Category:The Tower of the Swallow characters,Guiscard Vermuellen
Category:The Tower of the Swallow characters,Guthlaf
Category:The Tower of the Swallow characters,Henselt
Category:The Tower of the Swallow characters,Hjalmar an Craite
Category:The Tower of the Swallow characters,Homer Straggen
Category:The Tower of the Swallow characters,Horsehide
Category:The Tower of the Swallow characters,Hotspurn
Category:The Tower of the Swallow characters,Iola
Category:The Tower of the Swallow characters,Iola the Second
Category:The Tower of the Swallow characters,Iskra
Category:The Tower of the Swallow characters,Ithlinne
Category:The Tower of the Swallow characters,Jacob Fenn
Category:The Tower of the Swallow characters,Jan Calveit
Category:The Tower of the Swallow characters,Jan Cronin
Category:The Tower of the Swallow characters,Jarre
Category:The Tower of the Swallow characters,Jediah Mekesser
Category:The Tower of the Swallow characters,Joachim de Wett
Category:The Tower of the Swallow characters,Joanna Selborne
Category:The Tower of the Swallow characters,Juan Gutierrez
Category:The Tower of the Swallow characters,Julia Abatemarco
Category:The Tower of the Swallow characters,Kabernik Turent
Category:The Tower of the Swallow characters,Kamil Ronstetter
Category:The Tower of the Swallow characters,Katje
Category:The Tower of the Swallow characters,Kaveri
Category:The Tower of the Swallow characters,Kayleigh
Category:The Tower of the Swallow characters,Kelpie (horse)
Category:The Tower of the Swallow characters,Kohut
Category:The Tower of the Swallow characters,Lady de Lisemore
Category:The Tower of the Swallow characters,Lambert
Category:The Tower of the Swallow characters,Lara Dorren
Category:The Tower of the Swallow characters,Lebioda
Category:The Tower of the Swallow characters,Leo Bonhart
Category:The Tower of the Swallow characters,Lorenzo Molla
Category:The Tower of the Swallow characters,Lydia van Bredevoort
Category:The Tower of the Swallow characters,Mad Deï
Category:The Tower of the Swallow characters,Margarita Laux-Antille
Category:The Tower of the Swallow characters,Marie de Mercey
Category:The Tower of the Swallow characters,Markus Braibant
Category:The Tower of the Swallow characters,Marquard
Category:The Tower of the Swallow characters,Marquis de Mercey
Category:The Tower of the Swallow characters,Matilda de Nementh-Uyvar
Category:The Tower of the Swallow characters,Matted Hair
Category:The Tower of the Swallow characters,Mawr var Anahid
Category:The Tower of the Swallow characters,Menno Coehoorn
Category:The Tower of the Swallow characters,Meve
Category:The Tower of the Swallow characters,Michael de Noailles
Category:The Tower of the Swallow characters,Milo Vanderbeck
Category:The Tower of the Swallow characters,Milton de Peyrac-Peyran
Category:The Tower of the Swallow characters,Milva
Category:The Tower of the Swallow characters,Mistle
Category:The Tower of the Swallow characters,Muchomorek
Category:The Tower of the Swallow characters,Myrrha
Category:The Tower of the Swallow characters,Nenneke
Category:The Tower of the Swallow characters,Neratin Ceka
Category:The Tower of the Swallow characters,Novosad
Category:The Tower of the Swallow characters,Nycklar
Category:The Tower of the Swallow characters,Ola Harsheim
Category:The Tower of the Swallow characters,Paulie Dahlberg
Category:The Tower of the Swallow characters,Pennycuick
Category:The Tower of the Swallow characters,Philippa Eilhart
Category:The Tower of the Swallow characters,Prine
Category:The Tower of the Swallow characters,Radcliffe
Category:The Tower of the Swallow characters,Radovid I
Category:The Tower of the Swallow characters,Radovid III
Category:The Tower of the Swallow characters,Radovid V
Category:The Tower of the Swallow characters,Raymund
Category:The Tower of the Swallow characters,Reef
Category:The Tower of the Swallow characters,Reynart de Bois-Fresnes
Category:The Tower of the Swallow characters,Rhyd
Category:The Tower of the Swallow characters,Riannon
Category:The Tower of the Swallow characters,Rience
Category:The Tower of the Swallow characters,Rispat La Pointe
Category:The Tower of the Swallow characters,Roach
Category:The Tower of the Swallow characters,Roderick de Novembre
Category:The Tower of the Swallow characters,Rupert (The Tower of the Swallow)
Category:The Tower of the Swallow characters,Scarra sisters
Category:The Tower of the Swallow characters,Schirrú
Category:The Tower of the Swallow characters,Schliemann
Category:The Tower of the Swallow characters,Sheala de Tancarville
Category:The Tower of the Swallow characters,Sigismund Dijkstra
Category:The Tower of the Swallow characters,Sigrdrifa
Category:The Tower of the Swallow characters,Stavro
Category:The Tower of the Swallow characters,Stigward
Category:The Tower of the Swallow characters,Surcratasse
Category:The Tower of the Swallow characters,Sven (Guthlaf's father)
Category:The Tower of the Swallow characters,Talbot
Category:The Tower of the Swallow characters,Tankred Thyssen
Category:The Tower of the Swallow characters,Til Echrade
Category:The Tower of the Swallow characters,Tissaia de Vries
Category:The Tower of the Swallow characters,Torres var Emreis
Category:The Tower of the Swallow characters,Triss Merigold
Category:The Tower of the Swallow characters,Troyden
Category:The Tower of the Swallow characters,Valdez
Category:The Tower of the Swallow characters,Vattier de Rideaux
Category:The Tower of the Swallow characters,Vesemir
Category:The Tower of the Swallow characters,Vilgefortz
Category:The Tower of the Swallow characters,Vissegerd
Category:The Tower of the Swallow characters,Vizimir II
Category:The Tower of the Swallow characters,Vysogota of Corvo
Category:The Tower of the Swallow characters,Walter Beda
Category:The Tower of the Swallow characters,Weasel
Category:The Tower of the Swallow characters,Windsor Imbra
Category:The Tower of the Swallow characters,Xarthisius
Category:The Tower of the Swallow characters,Yarpen Zigrin
Category:The Tower of the Swallow characters,Yennefer of Vengerberg
Category:The Tower of the Swallow characters,Yirrel
Category:The Tower of the Swallow characters,Yuz Jannowitz
Category:The Tower of the Swallow characters,Zdyb
Category:The Tower of the Swallow characters,Zuleyka
Category:The Tower of the Swallow characters,Zyvik
Category:Time of Contempt characters,Abdank
Category:Time of Contempt characters,Agnes of Glanville
Category:Time of Contempt characters,Aine Dermott
Category:Time of Contempt characters,Akerspaark
Category:Time of Contempt characters,Akerspaark's children
Category:Time of Contempt characters,Alia Akerspaark
Category:Time of Contempt characters,Aplegatt
Category:Time of Contempt characters,April Wenhaver
Category:Time of Contempt characters,Ardal aep Dahy
Category:Time of Contempt characters,Argentina Akerspaark
Category:Time of Contempt characters,Artaud Terranova
Category:Time of Contempt characters,Asse
Category:Time of Contempt characters,Audegast
Category:Time of Contempt characters,Augusta Wagner
Category:Time of Contempt characters,Aurora Henson
Category:Time of Contempt characters,Bernie Hofmeier
Category:Time of Contempt characters,Bianca d'Este
Category:Time of Contempt characters,Blaise
Category:Time of Contempt characters,Blue Knight
Category:Time of Contempt characters,Bode
Category:Time of Contempt characters,Bronibor
Category:Time of Contempt characters,Cahir Mawr Dyffryn aep Ceallach
Category:Time of Contempt characters,Cairbre aep Diared
Category:Time of Contempt characters,Calanthe
Category:Time of Contempt characters,Carduin
Category:Time of Contempt characters,Carla Demetia Crest
Category:Time of Contempt characters,Ceallach aep Gruffyd
Category:Time of Contempt characters,Cinia Hofmeier
Category:Time of Contempt characters,Ciri
Category:Time of Contempt characters,Cirilla Fiona (imposter)
Category:Time of Contempt characters,Clara aep Gwydolyn Gor
Category:Time of Contempt characters,Codringher
Category:Time of Contempt characters,Coën
Category:Time of Contempt characters,Cregennan of Lod
Category:Time of Contempt characters,Dagorad
Category:Time of Contempt characters,Dandelion
Category:Time of Contempt characters,Demavend III
Category:Time of Contempt characters,Dervla Tryffin Broinne
Category:Time of Contempt characters,Detmold
Category:Time of Contempt characters,Digod
Category:Time of Contempt characters,Dorregaray
Category:Time of Contempt characters,Drithelm
Category:Time of Contempt characters,Effenberg
Category:Time of Contempt characters,Eist Tuirseach
Category:Time of Contempt characters,Eithné
Category:Time of Contempt characters,Elan Trahe
Category:Time of Contempt characters,Elen of Kaedwen
Category:Time of Contempt characters,Emhyr var Emreis
Category:Time of Contempt characters,Eredin Bréacc Glas
Category:Time of Contempt characters,Ervyll
Category:Time of Contempt characters,Eskel
Category:Time of Contempt characters,Esterad Thyssen
Category:Time of Contempt characters,Ethain
Category:Time of Contempt characters,Ettariel
Category:Time of Contempt characters,Evan Helvet
Category:Time of Contempt characters,Fabio Sachs
Category:Time of Contempt characters,Fabio Sachs (senior)
Category:Time of Contempt characters,Falka
Category:Time of Contempt characters,Falka (alias)
Category:Time of Contempt characters,Fauve
Category:Time of Contempt characters,Fercart
Category:Time of Contempt characters,Filavandrel aén Fidháil
Category:Time of Contempt characters,Fiona
Category:Time of Contempt characters,Flavius Michelet
Category:Time of Contempt characters,Flourens Delannoy
Category:Time of Contempt characters,Foltest
Category:Time of Contempt characters,Francesca Findabair
Category:Time of Contempt characters,Franklin Hofmeier
Category:Time of Contempt characters,Geoffrey Monck
Category:Time of Contempt characters,Geralt of Rivia
Category:Time of Contempt characters,Gerhart of Aelle
Category:Time of Contempt characters,Giambattista
Category:Time of Contempt characters,Giselher
Category:Time of Contempt characters,Gonzalez Akerspaark
Category:Time of Contempt characters,Gorazd
Category:Time of Contempt characters,Gorm Akerspaark
Category:Time of Contempt characters,Hansom
Category:Time of Contempt characters,Hedwig of Malleore
Category:Time of Contempt characters,Heimo Kantor
Category:Time of Contempt characters,Henselt
Category:Time of Contempt characters,Herbert Stammelford
Category:Time of Contempt characters,Hereward
Category:Time of Contempt characters,Horm Akerspaark
Category:Time of Contempt characters,Hoët
Category:Time of Contempt characters,Hrafnir
Category:Time of Contempt characters,Hugo Ansbach
Category:Time of Contempt characters,Ihuarraquax
Category:Time of Contempt characters,Ilona Laux-Antille
Category:Time of Contempt characters,Immanuel Benavent
Category:Time of Contempt characters,Iskra
Category:Time of Contempt characters,Ithlinne
Category:Time of Contempt characters,Ivo Richert
Category:Time of Contempt characters,Jacob Fenn
Category:Time of Contempt characters,Jada Glevissig
Category:Time of Contempt characters,Jan Bekker
Category:Time of Contempt characters,Jan Calveit
Category:Time of Contempt characters,Jarre
Category:Time of Contempt characters,Joachim de Wett
Category:Time of Contempt characters,Justin Ingvar
Category:Time of Contempt characters,Kayleigh
Category:Time of Contempt characters,Keira Metz
Category:Time of Contempt characters,King of the Wild Hunt
Category:Time of Contempt characters,Klara Larissa de Winter
Category:Time of Contempt characters,Korin
Category:Time of Contempt characters,Kraska
Category:Time of Contempt characters,Lambert
Category:Time of Contempt characters,Lara Dorren
Category:Time of Contempt characters,Lars
Category:Time of Contempt characters,Leila
Category:Time of Contempt characters,Leticia Charbonneau
Category:Time of Contempt characters,Little Yaxa
Category:Time of Contempt characters,Lodovico Michelet
Category:Time of Contempt characters,Lutz
Category:Time of Contempt characters,Lydia van Bredevoort
Category:Time of Contempt characters,Malvina Akerspaark
Category:Time of Contempt characters,Mansfeld
Category:Time of Contempt characters,Marder
Category:Time of Contempt characters,Margarita Laux-Antille
Category:Time of Contempt characters,Markus Braibant
Category:Time of Contempt characters,Marquard
Category:Time of Contempt characters,Marti Södergren
Category:Time of Contempt characters,Menno Coehoorn
Category:Time of Contempt characters,Meve
Category:Time of Contempt characters,Michael Glomb
Category:Time of Contempt characters,Michelet brothers
Category:Time of Contempt characters,Milan Raupenneck
Category:Time of Contempt characters,Millet
Category:Time of Contempt characters,Milva
Category:Time of Contempt characters,Mistle
Category:Time of Contempt characters,Molnar Giancardi
Category:Time of Contempt characters,Morvran Voorhis
Category:Time of Contempt characters,Nazarian
Category:Time of Contempt characters,Nenneke
Category:Time of Contempt characters,Niedamir
Category:Time of Contempt characters,Nina Akerspaark
Category:Time of Contempt characters,Nina Fioravanti
Category:Time of Contempt characters,Nitert
Category:Time of Contempt characters,Nora Wagner
Category:Time of Contempt characters,Orm Akerspaark
Category:Time of Contempt characters,Paulie Dahlberg
Category:Time of Contempt characters,Paulina Akerspaark
Category:Time of Contempt characters,Pavetta
Category:Time of Contempt characters,Pegasus
Category:Time of Contempt characters,Peter Evertsen
Category:Time of Contempt characters,Petunia Hofmeier
Category:Time of Contempt characters,Philippa Eilhart
Category:Time of Contempt characters,Pitcairn Godyvron
Category:Time of Contempt characters,Radcliffe
Category:Time of Contempt characters,Radmir
Category:Time of Contempt characters,Raffard the White
Category:Time of Contempt characters,Ralf Blunden
Category:Time of Contempt characters,Ransant Alvaro
Category:Time of Contempt characters,Rayla
Category:Time of Contempt characters,Reef
Category:Time of Contempt characters,Rejean
Category:Time of Contempt characters,Remiz
Category:Time of Contempt characters,Rience
Category:Time of Contempt characters,Rizzi Michelet
Category:Time of Contempt characters,Roach
Category:Time of Contempt characters,Roderick de Novembre
Category:Time of Contempt characters,Roegner of Ebbing
Category:Time of Contempt characters,Rudiger
Category:Time of Contempt characters,Sabrina Glevissig
Category:Time of Contempt characters,Schirrú
Category:Time of Contempt characters,Sigismund Dijkstra
Category:Time of Contempt characters,Sir Sweers
Category:Time of Contempt characters,Skomlik
Category:Time of Contempt characters,Stahler
Category:Time of Contempt characters,Stefan Skellen
Category:Time of Contempt characters,Stella Congreve
Category:Time of Contempt characters,Talbot
Category:Time of Contempt characters,Tangerinka Hofmeier
Category:Time of Contempt characters,Tissaia de Vries
Category:Time of Contempt characters,Torm Akerspaark
Category:Time of Contempt characters,Toruviel
Category:Time of Contempt characters,Toublanc Michelet
Category:Time of Contempt characters,Triss Merigold
Category:Time of Contempt characters,Two Tusks
Category:Time of Contempt characters,Valia Akerspaark
Category:Time of Contempt characters,Vattier de Rideaux
Category:Time of Contempt characters,Venzlav
Category:Time of Contempt characters,Vercta
Category:Time of Contempt characters,Vesemir
Category:Time of Contempt characters,Vilgefortz
Category:Time of Contempt characters,Villis
Category:Time of Contempt characters,Vissegerd
Category:Time of Contempt characters,Vizimir II
Category:Time of Contempt characters,Voymir (Redanian)
Category:Time of Contempt characters,Wilfli
Category:Time of Contempt characters,Willemer
Category:Time of Contempt characters,Xarthisius
Category:Time of Contempt characters,Yaevinn
Category:Time of Contempt characters,Yanna of Murivel
Category:Time of Contempt characters,Yarpen Zigrin
Category:Time of Contempt characters,Yennefer of Vengerberg
Category:Time of Contempt characters,Yiolenta Suarez
Category:Time of Contempt characters,Zyvik
